CS_Unique_ID|CS_Govt_ID|CS_Govt_ID_Type|CS_Type|CS_First_Name|CS_Middle_Name|CS_Last_Name|CS_Name_Suffix|CS_Entity_Name|CS_Street_Add_Ln1|CS_Street_Add_Ln|CS_Street_Add_Ln3|CS_City|CS_State|CS_ZIP|CS_Country|CS_Telephone|CS_Email|CS_Outstanding_Debt_Flag|CS_Security_Pledge_Flag|Account_Holder_Status|Date_Of_Status_Change|Record_Complete_ Data_Flag,
1278658|122-33-3444|SSN|IND|Marcie||Jones|||3434 Virginia Ave|||Captain|CA|90528|US|703-123-4567|marcie@gmail.com|N|N|A||,
102|000-15-6789|SSN|IND|Beatrice ||Allen|||strtaddy2|Suite 1||Arlington|VA|20194|US|703-234-5678|allen@gmail.com|Y|N|A||,
103|000-15-6790|SSN|IND|John||Smith|||strtaddy3|||New York|NY|10012|US|703-234-3211|Jsmith@gmail.com|N|N|A||,
104|000-15-6791|SSN|IND|Robert ||Smith|||strtaddy4|||Upton|WA|20013|US|703-234-3212|SmithRob@gmail.com|N|N|A||,
105|000-15-6792|SSN|IND|Mary||Smith|||strtaddy5|||Grover City|CA|10032|US|703-234-3213|MerrySmith@gmail.com|N|N|A||,
106|99-9121234|TIN|BUS|||||Pleasant Hill Mortgage Servicing|strtaddy6|||Arlington|VA|20194|US|703-234-5679|pleasant@gmail.com|N|N|||,
107|000-46-7891|SSN|IND|Harry||Smith|||strtaddy7|||Crowley|TX|76036|US|703-123-4568| Smith@gmail.com|N|N|A||,
108|000-14-5670|SSN|IND|Marsha||McDonald|||strtaddy8|||Slidell |LA|94650|US|703-234-5679| McDonald@gmail.com|N|N|A||,
109|000-56-7892|SSN|IND|Mark ||Carter|||strtaddy9|||Picayune|MS|122571|US|703-123-4569|Carter@gmail.com|N|N|A||,
110|000-17-0892|SSN|IND|John||Tango|||strtaddy10|||New Orleans|LA|150492|US|703-234-5680| Tango@gmail.com|N|N|A||,
111|000-56-7893|SSN|IND|Lee ||Green|||strtaddy11|||New Braunfels|TX|178413|US|703-123-4570|Green@gmail.com|N|N|A||,
112|000-78-0093|SSN|IND|Tom ||Bradshaw|||strtaddy12|||Benbrook|TX|206334|US|703-234-5681|Bradshaw@gmail.com|N|N|A||,
113|000-56-7894|SSN|IND|Barbara ||Moore|||strtaddy13|||Oxford|TN|234255|US|703-123-4571|Moore@gmail.com|N|N|A||,
114|99-9701234|TIN|BUS|||||Medical Services of Mainville |strtaddy14|||Santa Maria |CA|262176|US|703-234-5682|MSM@gmail.com|N|N|A||,
115|99-9701235|TIN|BUS|||||Moore Stevens Med|strtaddy15|||Las Vegas|NV|290097|US|703-123-4572|MooreSM@gmail.com|N|N|A||,
6489649|98-1234567|TIN|BUS|||||XYZ Corporation |100 Dredging Rd|||Happytown|CA|89899|US|703-234-5683|XYZDI@gmail.com|N|N|A||,
117|99-9701237|TIN|BUS|||||QRS Dynamite, Inc |strtaddy17|||Newport|RI|345939|US|703-123-4573|QRSDI@gmail.com|N|N|A||
118|99-9701238|TIN|GOV|||||Municipality of Magenta|strtaddy18|||Arlington|VA|373860|US|703-234-5684|MuniMagenta@gmail.com|N|N|A||,
119|99-9701239|TIN|BUS|||||Smithtown Mortgage Servicing |strtaddy19|||Arlington|VA|401781|US|703-123-4574|SMS@gmail.com|N|N|A||,
120|99-9701240|TIN|BUS|||||Newton Mortgage Servicing |strtaddy20|||Crowley|TX|429702|US|703-234-5685|NewtoMS@gmail.com|N|N|A||,
121|99-9701241|TIN|GOV|||||Municipality of Orange|strtaddy21|||Waco|TX|437891|US|817-111-4242|OrangeMS@gmail.com|N|N|A||,
122|99-9711342|TIN|BUS|||||Ocean Bank|strtaddy22|||Oxnard|CA|123432|US|223-867-3452|oceanbank@gmail.com|N|N|A||,
123|99-9721453|TIN|BUS|||||ABC Insurance Company|strtaddy23|||Cucamonga|CA|432123|US|223-987-5232|abcins@gmail.com|N|N|A||,
124|99-9731542|TIN|BUS|||||Bond Issuer A|strtaddy24|||Chatanoga|TN|532452|US|123-897-5151|bia@gmail.com|N|N|A||,
125|99-9741652|TIN|BUS|||||Bond Issuer B|strtaddy25|||Chatanoga|TN|532452|US|123-897-5151|bib@gmail.com|N|N|A||,
126|99-9751762|TIN|BUS|||||Bond Issuer C|strtaddy26|||Chatanoga|TN|532452|US|123-897-5151|bic@gmail.com|N|N|A||,
127|99-9751852|TIN|GOV|||||Bureau of Indian Affairs|strtaddy27|||West Wexley|OK|765324|US|432-001-4532|bia@gmail.gov|N|N|A||,
128|99-9761963|TIN|BUS|||||Enfield Bank|strtaddy28|||Washington D.C.|DC|761100|US|234-563-0097|enfieldba@gmain.com|N|N|A||,
6578658|98-7654321|TIN|BUS|||||Anytown Broker|123 Main St|||Anytown|CA|20199|US|769-234-0022|anytownB@gmail.com|N|N|N||,
130|000-53-0199|SSN|IND|Al||Adams|||strtaddy30|||Anywhere|SD|845677|US|769-234-0099|adamsal@gmail.com|N|N|N||,
131|99-9782122|TIN|BUS|||||Anywhere City|strtaddy31|||Anywhere|SD|845677|US|769-234-0001|anywhere@gmail.gov|N|N|N||,
